model_subject,211-000531,211-000532,211-000533,211-000535,211-000536,211-000537,211-000539,211-000540,211-000541,211-000543,211-000544,211-000545,211-000546,211-000547,211-000548,211-000549,211-000550,211-000552,211-000553,211-000554,211-000555,211-000556,211-000557
211-000531,,0.3125,0.4782608695652174,0.46534653465346537,0.46774193548387094,0.35877862595419846,0.4393939393939394,0.5784313725490197,0.44881889763779526,0.09929078014184398,0.4,0.3125,0.5957446808510638,0.3333333333333333,0.4339622641509434,0.28776978417266186,0.07407407407407407,0.4224137931034483,0.25961538461538464,0.22627737226277372,0.2857142857142857,0.049019607843137254,0.15789473684210525
211-000532,0.6451612903225806,,0.13768115942028986,0.1188118811881188,0.08064516129032258,0.31297709923664124,0.32575757575757575,0.3137254901960784,0.3543307086614173,0.2907801418439716,0.225,0.3229166666666667,0.49645390070921985,0.2986111111111111,0.2358490566037736,0.3237410071942446,0.2345679012345679,0.1206896551724138,0.23076923076923078,0.21897810218978103,0.3233082706766917,0.17647058823529413,0.3308270676691729
211-000533,0.6935483870967742,0.2361111111111111,,0.26732673267326734,0.4112903225806452,0.4198473282442748,0.19696969696969696,0.3235294117647059,0.3228346456692913,0.2765957446808511,0.5833333333333334,0.3541666666666667,0.5531914893617021,0.4027777777777778,0.3490566037735849,0.18705035971223022,0.2222222222222222,0.33620689655172414,0.4519230769230769,0.2773722627737226,0.23308270676691728,0.0392156862745098,0.3007518796992481
211-000535,0.4838709677419355,0.2152777777777778,0.37681159420289856,,0.28225806451612906,0.4732824427480916,0.3787878787878788,0.5784313725490197,0.5196850393700787,0.49645390070921985,0.375,0.6145833333333334,0.48936170212765956,0.20833333333333334,0.39622641509433965,0.302158273381295,0.9012345679012346,0.28448275862068967,0.6538461538461539,0.49635036496350365,0.3308270676691729,0.6372549019607843,0.3383458646616541
211-000536,0.6612903225806451,0.2847222222222222,0.3115942028985507,0.3564356435643564,,0.33587786259541985,0.23484848484848486,0.7058823529411765,0.29133858267716534,0.2553191489361702,0.30833333333333335,0.3854166666666667,0.6382978723404256,0.19444444444444445,0.660377358490566,0.39568345323741005,0.2962962962962963,0.28448275862068967,0.4230769230769231,0.20437956204379562,0.15037593984962405,0.0784313725490196,0.19548872180451127
211-000537,0.20967741935483872,0.22916666666666666,0.26811594202898553,0.31683168316831684,0.3064516129032258,,0.4318181818181818,0.20588235294117646,0.3228346456692913,0.3404255319148936,0.36666666666666664,0.375,0.1773049645390071,0.2152777777777778,0.33962264150943394,0.39568345323741005,0.41975308641975306,0.4482758620689655,0.38461538461538464,0.32116788321167883,0.16541353383458646,0.2549019607843137,0.38345864661654133
211-000539,0.3064516129032258,0.4722222222222222,0.2753623188405797,0.504950495049505,0.13709677419354838,0.3816793893129771,,0.6862745098039216,0.12598425196850394,0.5673758865248227,0.3416666666666667,0.7708333333333334,0.6808510638297872,0.08333333333333333,0.1792452830188679,0.5467625899280576,0.3950617283950617,0.3620689655172414,0.47115384615384615,0.5182481751824818,0.13533834586466165,0.5,0.43609022556390975
211-000540,0.3870967741935484,0.3194444444444444,0.2753623188405797,0.39603960396039606,0.3387096774193548,0.2748091603053435,0.4090909090909091,,0.1968503937007874,0.45390070921985815,0.25833333333333336,0.46875,0.46808510638297873,0.2847222222222222,0.12264150943396226,0.5323741007194245,0.5925925925925926,0.5,0.4519230769230769,0.5693430656934306,0.14285714285714285,0.5882352941176471,0.6466165413533834
211-000541,0.5645161290322581,0.3125,0.2463768115942029,0.6633663366336634,0.21774193548387097,0.4198473282442748,0.3181818181818182,0.14705882352941177,,0.28368794326241137,0.5916666666666667,0.34375,0.23404255319148937,0.2638888888888889,0.41509433962264153,0.2589928057553957,0.5555555555555556,0.20689655172413793,0.3076923076923077,0.1897810218978102,0.24812030075187969,0.24509803921568626,0.37593984962406013
211-000543,0.12903225806451613,0.3194444444444444,0.3188405797101449,0.42574257425742573,0.25806451612903225,0.19083969465648856,0.5909090909090909,0.5686274509803921,0.33858267716535434,,0.3,0.59375,0.6312056737588653,0.3611111111111111,0.3867924528301887,0.4676258992805755,0.5308641975308642,0.4396551724137931,0.36538461538461536,0.29927007299270075,0.20300751879699247,0.5784313725490197,0.49624060150375937
