model_subject,211-000531,211-000532,211-000533,211-000535,211-000536,211-000537,211-000539,211-000540,211-000541,211-000543,211-000544,211-000545,211-000546,211-000547,211-000548,211-000549,211-000550,211-000552,211-000553,211-000554,211-000555,211-000556,211-000557
211-000531,,0.23823529411764702,0.40370370370370373,0.35117454653583113,0.35353535353535354,0.290883137839012,0.34892950975459786,0.43975155279503103,0.36975013290802766,0.08354978354978354,0.3412014230979748,0.23806366047745361,0.47834441980783443,0.27614808073029096,0.34026790713701166,0.2257495590828924,0.0691358024691358,0.3677492877492878,0.17683096630465048,0.18591439424772757,0.18997730050637332,0.03115264797507788,0.1279495698100349
211-000532,0.5276976896167301,,0.12640681387903285,0.12146030491330535,0.07012987012987014,0.2972952523514321,0.3184863582015657,0.2670940170940171,0.3106498688456703,0.27986845196147525,0.2236842105263158,0.29332781913427075,0.46243120394270454,0.2949972874525304,0.2280189597262768,0.3163748442520821,0.23369911742004765,0.11667187581392925,0.22083333333333333,0.21841626552604174,0.29331078224101476,0.1949509116409537,0.3050518367591538
211-000533,0.5794169301018616,0.20513602847698956,,0.25586178527354997,0.344758064516129,0.36813537675606645,0.21860347742700684,0.25607118534982753,0.2788677188790375,0.27655840987897834,0.5885458538917877,0.2932216298552932,0.542269392033543,0.40566216823901574,0.3531409168081494,0.18048090794750624,0.23497326203208554,0.32111026228673284,0.4195386503966727,0.27202138480827004,0.15487030905077262,0.03801801801801802,0.30104280574969494
211-000535,0.3816287878787879,0.20918237623043115,0.39598290598290603,,0.25025213573801613,0.4665978672170623,0.36878794004324633,0.503976661085852,0.5288747095198708,0.46915711066654464,0.3613595413595414,0.5719648372535043,0.441235567551357,0.1870851370851371,0.3629450652706467,0.2909150255684909,0.8773946360153256,0.2529330572808834,0.6307991317078095,0.4518000518000518,0.2734510211145725,0.5615577405051089,0.34446970030258145
211-000536,0.4700750659362954,0.23922762510345605,0.26638596491228067,0.2862474877978754,,0.26486756621689156,0.20684514663436915,0.5394024634530964,0.23879633217099316,0.20635633388215338,0.2577745676337226,0.3283635959797879,0.5137266355140188,0.17592592592592593,0.5408885426357762,0.3479827824756407,0.23111111111111113,0.28698350046227156,0.33885770293147993,0.16319742210441515,0.11937527304499783,0.05555555555555555,0.1567227604963454
211-000537,0.196969696969697,0.23088743299583084,0.3008825427165253,0.31588402691901596,0.253637473012297,,0.40717983728736423,0.2074835460375044,0.34359422770429077,0.306986047327832,0.3286551543694401,0.37056098816263505,0.16460692377226213,0.2113205535802748,0.3360902255639098,0.3595694884233202,0.38489409141583053,0.3965020063368714,0.36157932958758554,0.31202226147677053,0.20874495874495871,0.18840579710144925,0.3456654361562385
211-000539,0.3456252419667054,0.47202898550724637,0.2757898130238556,0.4519331243469174,0.14852983925148874,0.36240981240981246,,0.6588176442613978,0.1322357174988754,0.5522834245526658,0.29922323539344814,0.7372078143080798,0.6794152046783625,0.08402114677327586,0.18471156578573455,0.5347704299110948,0.36661744801279683,0.35924888744165856,0.46265805907486995,0.5032589987178149,0.13369890835237372,0.4439299830604178,0.43365402786937723
211-000540,0.2222222222222222,0.29056283701962926,0.24509941520467837,0.39402686660418623,0.34351549351549354,0.26552537079908756,0.3828324276366863,,0.15209048436308162,0.4194255233681757,0.2703150912106136,0.35444818704180703,0.4143388675048423,0.23728905979775786,0.1117609597764904,0.5157555306399166,0.49230769230769234,0.49692711659924776,0.40937879289418516,0.5339620551170198,0.12764394646747587,0.5675266597867217,0.6384996161150847
211-000541,0.5279977313875619,0.3130784559355988,0.24426450742240216,0.6504119080709811,0.22814685314685312,0.3764111705288176,0.3184462596227302,0.14886758659727217,,0.27909824258138866,0.5867343336863208,0.33598435462842247,0.23799379547561325,0.27395839240281417,0.4089150286333385,0.26002472239031377,0.5517307864765492,0.19500180223477112,0.31005600019227536,0.18078231292517008,0.24207975324961448,0.24775818920926,0.35243241984815016
211-000543,0.1206454346759445,0.31373246718489595,0.30963829528300174,0.42239134111280235,0.2250980691347664,0.17342534009200675,0.5868606701940036,0.5728635953026197,0.330982905982906,,0.29423076923076924,0.5951339613408367,0.6348737463054889,0.3488894247514937,0.36764453594098473,0.47118305408486155,0.49748054598800867,0.4272637016844196,0.3587485981506168,0.2964498496002002,0.21490778533177268,0.5709096069249325,0.4912442396313364
