mode,model_subject,predict_subject,accuracy,f1_macro,n_train,n_predict,model_solver,train_joy,train_neutro,train_sad,predict_joy,predict_neutro,predict_sad
strict,211-000531,211-000532,0.3472222222222222,0.26889654041646166,62,144,lsqr_auto,35,18,9,49,47,48
calibrated,211-000531,211-000532,0.3125,0.23823529411764702,62,144,lsqr_auto,35,18,9,49,47,48
strict,211-000531,211-000533,0.4782608695652174,0.4067460317460318,62,138,lsqr_auto,35,18,9,45,45,48
calibrated,211-000531,211-000533,0.4782608695652174,0.40370370370370373,62,138,lsqr_auto,35,18,9,45,45,48
strict,211-000531,211-000535,0.2871287128712871,0.1805380411937789,62,101,lsqr_auto,35,18,9,45,28,28
calibrated,211-000531,211-000535,0.46534653465346537,0.35117454653583113,62,101,lsqr_auto,35,18,9,45,28,28
strict,211-000531,211-000536,0.43548387096774194,0.30351866774106906,62,124,lsqr_auto,35,18,9,47,46,31
calibrated,211-000531,211-000536,0.46774193548387094,0.35353535353535354,62,124,lsqr_auto,35,18,9,47,46,31
strict,211-000531,211-000537,0.31297709923664124,0.1607843137254902,62,131,lsqr_auto,35,18,9,42,42,47
calibrated,211-000531,211-000537,0.35877862595419846,0.290883137839012,62,131,lsqr_auto,35,18,9,42,42,47
strict,211-000531,211-000539,0.3333333333333333,0.16666666666666666,62,132,lsqr_auto,35,18,9,49,44,39
calibrated,211-000531,211-000539,0.4393939393939394,0.34892950975459786,62,132,lsqr_auto,35,18,9,49,44,39
strict,211-000531,211-000540,0.6568627450980392,0.4809081527347781,62,102,lsqr_auto,35,18,9,49,33,20
calibrated,211-000531,211-000540,0.5784313725490197,0.43975155279503103,62,102,lsqr_auto,35,18,9,49,33,20
strict,211-000531,211-000541,0.3228346456692913,0.1626984126984127,62,127,lsqr_auto,35,18,9,41,40,46
calibrated,211-000531,211-000541,0.44881889763779526,0.36975013290802766,62,127,lsqr_auto,35,18,9,41,40,46
strict,211-000531,211-000543,0.3191489361702128,0.2644628099173554,62,141,lsqr_auto,35,18,9,49,45,47
calibrated,211-000531,211-000543,0.09929078014184398,0.08354978354978354,62,141,lsqr_auto,35,18,9,49,45,47
strict,211-000531,211-000544,0.5583333333333333,0.5235144682970544,62,120,lsqr_auto,35,18,9,27,46,47
calibrated,211-000531,211-000544,0.4,0.3412014230979748,62,120,lsqr_auto,35,18,9,27,46,47
strict,211-000531,211-000545,0.3125,0.17072879330943846,62,96,lsqr_auto,35,18,9,44,23,29
calibrated,211-000531,211-000545,0.3125,0.23806366047745361,62,96,lsqr_auto,35,18,9,44,23,29
strict,211-000531,211-000546,0.5673758865248227,0.5069636957114271,62,141,lsqr_auto,35,18,9,48,47,46
calibrated,211-000531,211-000546,0.5957446808510638,0.47834441980783443,62,141,lsqr_auto,35,18,9,48,47,46
strict,211-000531,211-000547,0.3541666666666667,0.2847124824684432,62,144,lsqr_auto,35,18,9,49,47,48
calibrated,211-000531,211-000547,0.3333333333333333,0.27614808073029096,62,144,lsqr_auto,35,18,9,49,47,48
