model_subject,211-000531,211-000532,211-000533,211-000535,211-000536,211-000537,211-000539,211-000540,211-000541,211-000543,211-000544,211-000545,211-000546,211-000547,211-000548,211-000549,211-000550,211-000552,211-000553,211-000554,211-000555,211-000556,211-000557
211-000531,,0.3472222222222222,0.4782608695652174,0.2871287128712871,0.43548387096774194,0.31297709923664124,0.3333333333333333,0.6568627450980392,0.3228346456692913,0.3191489361702128,0.5583333333333333,0.3125,0.5673758865248227,0.3541666666666667,0.39622641509433965,0.3381294964028777,0.1728395061728395,0.49137931034482757,0.28846153846153844,0.2846715328467153,0.2932330827067669,0.0784313725490196,0.3233082706766917
211-000532,0.20967741935483872,,0.1956521739130435,0.27722772277227725,0.3548387096774194,0.35877862595419846,0.29545454545454547,0.23529411764705882,0.36220472440944884,0.3191489361702128,0.39166666666666666,0.3020833333333333,0.3971631205673759,0.3194444444444444,0.11320754716981132,0.3597122302158273,0.4444444444444444,0.3017241379310345,0.3173076923076923,0.3357664233576642,0.2556390977443609,0.3235294117647059,0.39849624060150374
211-000533,0.6451612903225806,0.2638888888888889,,0.44554455445544555,0.3467741935483871,0.32061068702290074,0.4090909090909091,0.4803921568627451,0.3228346456692913,0.3120567375886525,0.24166666666666667,0.3958333333333333,0.6595744680851063,0.3263888888888889,0.36792452830188677,0.15827338129496402,0.1728395061728395,0.3103448275862069,0.3557692307692308,0.35766423357664234,0.3157894736842105,0.3627450980392157,0.3082706766917293
211-000535,0.14516129032258066,0.3472222222222222,0.34782608695652173,,0.03225806451612903,0.366412213740458,0.29545454545454547,0.22549019607843138,0.48031496062992124,0.44680851063829785,0.38333333333333336,0.3333333333333333,0.3262411347517731,0.4791666666666667,0.3584905660377358,0.31654676258992803,0.37037037037037035,0.3017241379310345,0.4423076923076923,0.32116788321167883,0.43609022556390975,0.23529411764705882,0.3383458646616541
211-000536,0.3225806451612903,0.3194444444444444,0.13043478260869565,0.18811881188118812,,0.31297709923664124,0.32575757575757575,0.7941176470588235,0.2992125984251969,0.36879432624113473,0.38333333333333336,0.23958333333333334,0.425531914893617,0.3194444444444444,0.36792452830188677,0.3237410071942446,0.07407407407407407,0.20689655172413793,0.33653846153846156,0.24817518248175183,0.17293233082706766,0.22549019607843138,0.3458646616541353
211-000537,0.3548387096774194,0.3333333333333333,0.34782608695652173,0.27722772277227725,0.1774193548387097,,0.32575757575757575,0.19607843137254902,0.2283464566929134,0.3333333333333333,0.21666666666666667,0.2708333333333333,0.2553191489361702,0.2361111111111111,0.3490566037735849,0.3597122302158273,0.16049382716049382,0.33620689655172414,0.34615384615384615,0.31386861313868614,0.10526315789473684,0.27450980392156865,0.37593984962406013
211-000539,0.25806451612903225,0.3819444444444444,0.32608695652173914,0.44554455445544555,0.3790322580645161,0.4122137404580153,,0.5490196078431373,0.29133858267716534,0.3475177304964539,0.225,0.4583333333333333,0.3971631205673759,0.3263888888888889,0.33962264150943394,0.38848920863309355,0.4691358024691358,0.49137931034482757,0.36538461538461536,0.36496350364963503,0.2706766917293233,0.049019607843137254,0.3308270676691729
211-000540,0.04838709677419355,0.3402777777777778,0.463768115942029,0.32673267326732675,0.3467741935483871,0.3282442748091603,0.3712121212121212,,0.18110236220472442,0.3475177304964539,0.2916666666666667,0.4166666666666667,0.5390070921985816,0.375,0.20754716981132076,0.34532374100719426,0.25925925925925924,0.3017241379310345,0.2980769230769231,0.32116788321167883,0.12781954887218044,0.3137254901960784,0.3383458646616541
211-000541,0.6774193548387096,0.3125,0.32608695652173914,0.38613861386138615,0.3790322580645161,0.4961832061068702,0.6060606060606061,0.18627450980392157,,0.3475177304964539,0.38333333333333336,0.46875,0.19858156028368795,0.3194444444444444,0.3584905660377358,0.33093525179856115,0.5308641975308642,0.3706896551724138,0.34615384615384615,0.35036496350364965,0.3609022556390977,0.39215686274509803,0.3233082706766917
211-000543,0.14516129032258066,0.3125,0.32608695652173914,0.27722772277227725,0.28225806451612906,0.33587786259541985,0.3484848484848485,0.5588235294117647,0.2755905511811024,,0.39166666666666666,0.375,0.3829787234042553,0.3263888888888889,0.36792452830188677,0.38848920863309355,0.4567901234567901,0.3879310344827586,0.19230769230769232,0.29927007299270075,0.06015037593984962,0.43137254901960786,0.3157894736842105
