model_subject,211-000531,211-000532,211-000533,211-000535,211-000536,211-000537,211-000539,211-000540,211-000541,211-000543,211-000544,211-000545,211-000546,211-000547,211-000548,211-000549,211-000550,211-000552,211-000553,211-000554,211-000555,211-000556,211-000557
211-000531,,0.26889654041646166,0.4067460317460318,0.1805380411937789,0.30351866774106906,0.1607843137254902,0.16666666666666666,0.4809081527347781,0.1626984126984127,0.2644628099173554,0.5235144682970544,0.17072879330943846,0.5069636957114271,0.2847124824684432,0.26507887411073305,0.18085106382978722,0.1048689138576779,0.4020594194810223,0.15503875968992248,0.1818552082272681,0.16149068322981366,0.07555649181939471,0.16287878787878787
211-000532,0.17685518143184045,,0.1276595744680851,0.14470284237726097,0.221906728618138,0.17602996254681647,0.15204678362573099,0.18343405616779238,0.1772639691714836,0.16574585635359115,0.23030303030303031,0.15466666666666667,0.40608740608740607,0.26057302585604475,0.10126582278481013,0.22272727272727275,0.2878182200715338,0.15555555555555556,0.2075822134819185,0.3191857412040898,0.20293581913639772,0.2783625730994152,0.2933057280883368
211-000533,0.4470054129561725,0.1501123868537756,,0.20547945205479454,0.24311435523114355,0.16184971098265896,0.30106401534972965,0.2163355408388521,0.1626984126984127,0.2030710835058661,0.15201791672379908,0.34408994596348225,0.5515873015873015,0.16404886561954626,0.1793103448275862,0.15033280426214815,0.22165169020111253,0.15789473684210525,0.17494089834515367,0.17562724014336917,0.16,0.1774580335731415,0.1579961464354528
211-000535,0.08450704225352113,0.21515151515151518,0.2058823529411765,,0.020833333333333332,0.1925283580782201,0.15204678362573099,0.16373571783407848,0.35448039120437835,0.4475825425535951,0.18473895582329317,0.2367026912481458,0.16399286987522282,0.37325379070345516,0.20266666666666666,0.16029143897996356,0.1818181818181818,0.15452538631346577,0.3425559947299078,0.16206261510128914,0.3978569612436889,0.23254901960784313,0.189873417721519
211-000536,0.18988218988218988,0.17462365591397852,0.08391608391608392,0.14389799635701275,,0.15984405458089668,0.1657032755298651,0.5976102394012842,0.15734989648033126,0.2976716769820218,0.18473895582329317,0.1288515406162465,0.32187986305633365,0.172646363509943,0.18055555555555555,0.26083935174844264,0.06596954631770353,0.16360509115927072,0.16908212560386474,0.16065243403236978,0.13289161818573583,0.1803921568627451,0.20748299319727892
211-000537,0.23461622091759074,0.1675392670157068,0.17204301075268816,0.14470284237726097,0.16309731934731933,,0.20600308816329604,0.1092896174863388,0.13063063063063063,0.16666666666666666,0.13643790849673204,0.23159636062861869,0.19141449683321607,0.14481386757601591,0.2051181616399008,0.25903908560925876,0.11936936936936937,0.2732593294011614,0.18991545893719808,0.24458070110244023,0.07768685215493726,0.20280764635603346,0.2586852351003294
211-000539,0.260682548685952,0.2523960633204331,0.16393442622950818,0.20547945205479454,0.1865079365079365,0.34018264840182644,,0.3788838612368024,0.20168439716312056,0.17192982456140352,0.12244897959183675,0.20952380952380953,0.26891145245740405,0.16404886561954626,0.16901408450704225,0.2745130135865117,0.2323315871702968,0.37956857956857953,0.1784037558685446,0.3097100032583904,0.15865528601377657,0.04838533114395183,0.1900015820281601
211-000540,0.03076923076923077,0.17102966841186737,0.38448844884488453,0.3082014911802146,0.34423179160021267,0.26407294144297205,0.20833333333333334,,0.10222222222222221,0.21924455472842572,0.22226229114076212,0.29973544973544974,0.455534633827923,0.2982768865121806,0.13213213213213212,0.19609576427255984,0.24152321335419927,0.15452538631346577,0.15308641975308643,0.16206261510128914,0.11598915989159891,0.23647186147186147,0.1694915254237288
211-000541,0.5959950132460652,0.2165373824063377,0.16393442622950818,0.3023927173547279,0.2055722891566265,0.3952380952380952,0.4881794745214196,0.15021899170627154,,0.1746880570409982,0.18473895582329317,0.3557312252964427,0.14102564102564102,0.18585858585858586,0.17715617715617715,0.24592194376367038,0.3857212905756595,0.19936204146730463,0.18617614269788185,0.17297297297297298,0.30671497584541063,0.20952380952380953,0.16287878787878787
211-000543,0.08450704225352113,0.18917889121737475,0.16393442622950818,0.14470284237726097,0.264378302983554,0.19404572036150983,0.26049313005834746,0.48256330749354,0.1661257606490872,,0.18762475049900199,0.29386370644465004,0.26428137552659936,0.16404886561954626,0.1793103448275862,0.32905678958310536,0.3621933621933622,0.18633540372670807,0.15089514066496165,0.1544256120527307,0.04690225120072983,0.38840579710144923,0.16
