rank,subject_a,subject_b,mode,metric,score_a_to_b,score_b_to_a,compatibility,asymmetry,min_score,max_score,chance_improvement,accuracy_a_to_b,accuracy_b_to_a,f1_macro_a_to_b,f1_macro_b_to_a,rank_score
1,211-000545,211-000546,calibrated,f1_macro,0.7643936300530828,0.6663860830527497,0.7153898565529162,0.0980075470003331,0.6663860830527497,0.7643936300530828,0.3820565232195829,0.7659574468085106,0.6666666666666666,0.7643936300530828,0.6663860830527497,0.6663860830527497
2,211-000539,211-000543,calibrated,f1_macro,0.5522834245526658,0.5868606701940036,0.5695720473733347,0.034577245641337795,0.5522834245526658,0.5868606701940036,0.23623871404000135,0.5673758865248227,0.5909090909090909,0.5522834245526658,0.5868606701940036,0.5522834245526658
3,211-000545,211-000553,calibrated,f1_macro,0.6013014568297247,0.5477697896089035,0.5745356232193142,0.053531667220821144,0.5477697896089035,0.6013014568297247,0.24120228988598086,0.6153846153846154,0.5416666666666666,0.6013014568297247,0.5477697896089035,0.5477697896089035
4,211-000544,211-000552,calibrated,f1_macro,0.5911814053721235,0.5370370370370371,0.5641092212045803,0.0541443683350864,0.5370370370370371,0.5911814053721235,0.23077588787124698,0.5948275862068966,0.5583333333333333,0.5911814053721235,0.5370370370370371,0.5370370370370371
5,211-000535,211-000541,calibrated,f1_macro,0.5288747095198708,0.6504119080709811,0.589643308795426,0.12153719855111034,0.5288747095198708,0.6504119080709811,0.2563099754620927,0.5196850393700787,0.6633663366336634,0.5288747095198708,0.6504119080709811,0.5288747095198709
6,211-000540,211-000557,calibrated,f1_macro,0.6384996161150847,0.5229567071206332,0.580728161617859,0.11554290899445141,0.5229567071206332,0.6384996161150847,0.2473948282845257,0.6466165413533834,0.5294117647058824,0.6384996161150847,0.5229567071206332,0.5229567071206334
7,211-000553,211-000557,calibrated,f1_macro,0.5906607851270111,0.5160384331116039,0.5533496091193075,0.07462235201540723,0.5160384331116039,0.5906607851270111,0.2200162757859742,0.5864661654135338,0.5096153846153846,0.5906607851270111,0.5160384331116039,0.5160384331116039
8,211-000535,211-000545,calibrated,f1_macro,0.5719648372535043,0.5095730249814364,0.5407689311174704,0.062391812272067915,0.5095730249814364,0.5719648372535043,0.20743559778413706,0.6145833333333334,0.5742574257425742,0.5719648372535043,0.5095730249814364,0.5095730249814364
9,211-000539,211-000545,calibrated,f1_macro,0.7372078143080798,0.5020232096503283,0.6196155119792041,0.23518460465775148,0.5020232096503283,0.7372078143080798,0.28628217864587074,0.7708333333333334,0.553030303030303,0.7372078143080798,0.5020232096503283,0.5020232096503283
10,211-000543,211-000550,calibrated,f1_macro,0.4974805459880086,0.5090318388564002,0.5032561924222044,0.011551292868391627,0.4974805459880086,0.5090318388564002,0.16992285908887111,0.5308641975308642,0.5673758865248227,0.4974805459880086,0.5090318388564002,0.4974805459880086
11,211-000540,211-000550,calibrated,f1_macro,0.4923076923076923,0.4953940925963881,0.49385089245204017,0.003086400288695834,0.4923076923076923,0.4953940925963881,0.16051755911870685,0.5925925925925926,0.5980392156862745,0.4923076923076923,0.4953940925963881,0.4923076923076922
12,211-000545,211-000550,calibrated,f1_macro,0.5130340072868809,0.4895724327466835,0.5013032200167822,0.023461574540197372,0.4895724327466835,0.5130340072868809,0.16796988668344887,0.6049382716049383,0.5833333333333334,0.5130340072868809,0.4895724327466835,0.4895724327466835
13,211-000543,211-000556,calibrated,f1_macro,0.5709096069249325,0.4860810562992848,0.5284953316121086,0.08482855062564776,0.4860810562992848,0.5709096069249325,0.19516199827877528,0.5784313725490197,0.4964539007092198,0.5709096069249325,0.4860810562992848,0.4860810562992847
14,211-000535,211-000550,calibrated,f1_macro,0.8773946360153256,0.4737891737891737,0.6755919049022496,0.40360546222615196,0.4737891737891737,0.8773946360153256,0.3422585715689163,0.9012345679012346,0.5346534653465347,0.8773946360153256,0.4737891737891737,0.4737891737891736
15,211-000550,211-000554,calibrated,f1_macro,0.4734167141448944,0.6329368334700574,0.5531767738074759,0.15952011932516297,0.4734167141448944,0.6329368334700574,0.21984344047414256,0.5401459854014599,0.6790123456790124,0.4734167141448944,0.6329368334700574,0.4734167141448944
