subject_id,node_count,max_depth,n_features_in,output_file
211-000531,7,3,150,results/explicability/within_subject/model_figures/decisionTree/211-000531_arbol.png
211-000532,19,5,150,results/explicability/within_subject/model_figures/decisionTree/211-000532_arbol.png
211-000533,13,4,150,results/explicability/within_subject/model_figures/decisionTree/211-000533_arbol.png
211-000535,15,4,150,results/explicability/within_subject/model_figures/decisionTree/211-000535_arbol.png
211-000536,13,4,150,results/explicability/within_subject/model_figures/decisionTree/211-000536_arbol.png
211-000537,15,4,150,results/explicability/within_subject/model_figures/decisionTree/211-000537_arbol.png
211-000539,13,5,150,results/explicability/within_subject/model_figures/decisionTree/211-000539_arbol.png
211-000540,9,3,150,results/explicability/within_subject/model_figures/decisionTree/211-000540_arbol.png
211-000541,7,3,150,results/explicability/within_subject/model_figures/decisionTree/211-000541_arbol.png
211-000543,19,5,150,results/explicability/within_subject/model_figures/decisionTree/211-000543_arbol.png
211-000544,11,4,150,results/explicability/within_subject/model_figures/decisionTree/211-000544_arbol.png
211-000545,9,3,150,results/explicability/within_subject/model_figures/decisionTree/211-000545_arbol.png
211-000546,7,3,150,results/explicability/within_subject/model_figures/decisionTree/211-000546_arbol.png
211-000547,9,3,150,results/explicability/within_subject/model_figures/decisionTree/211-000547_arbol.png
211-000548,17,4,150,results/explicability/within_subject/model_figures/decisionTree/211-000548_arbol.png
211-000549,19,4,150,results/explicability/within_subject/model_figures/decisionTree/211-000549_arbol.png
211-000550,9,3,150,results/explicability/within_subject/model_figures/decisionTree/211-000550_arbol.png
211-000552,9,4,150,results/explicability/within_subject/model_figures/decisionTree/211-000552_arbol.png
211-000553,19,4,150,results/explicability/within_subject/model_figures/decisionTree/211-000553_arbol.png
211-000554,19,5,150,results/explicability/within_subject/model_figures/decisionTree/211-000554_arbol.png
211-000555,21,5,150,results/explicability/within_subject/model_figures/decisionTree/211-000555_arbol.png
211-000556,17,5,150,results/explicability/within_subject/model_figures/decisionTree/211-000556_arbol.png
211-000557,7,3,150,results/explicability/within_subject/model_figures/decisionTree/211-000557_arbol.png
