subject_id,class,rank,feature,coefficient,abs_coefficient
211-000531,JOY,1,O2_Beta,0.4120582640171051,0.4120582640171051
211-000531,JOY,2,POz_Beta,0.40014469623565674,0.40014469623565674
211-000531,JOY,3,PO4_Beta,0.39481502771377563,0.39481502771377563
211-000531,JOY,4,F4_Beta,0.27742791175842285,0.27742791175842285
211-000531,JOY,5,PO5_Beta,0.2651175558567047,0.2651175558567047
211-000531,JOY,6,PO6_Beta,0.26404866576194763,0.26404866576194763
211-000531,JOY,7,AlphaAsym_PO4-PO3,0.2604229152202606,0.2604229152202606
211-000531,JOY,8,C4_Beta,-0.2536126673221588,0.2536126673221588
211-000531,JOY,9,FC4_Beta,-0.19219353795051575,0.19219353795051575
211-000531,JOY,10,Oz_Beta,0.13543276488780975,0.13543276488780975
211-000531,JOY,11,F2_Beta,0.12139422446489334,0.12139422446489334
211-000531,JOY,12,C6_Beta,-0.11166499555110931,0.11166499555110931
211-000531,JOY,13,P1_Beta,0.08834805339574814,0.08834805339574814
211-000531,JOY,14,T8_Beta,-0.0832996517419815,0.0832996517419815
211-000531,JOY,15,FCz_Alpha,-0.06981401145458221,0.06981401145458221
211-000531,NEUTRO,1,Fpz_Beta,-0.42025452852249146,0.42025452852249146
211-000531,NEUTRO,2,Fz_Beta,0.2842051088809967,0.2842051088809967
211-000531,NEUTRO,3,CPz_Beta,-0.2787324786186218,0.2787324786186218
211-000531,NEUTRO,4,Oz_Beta,-0.21451930701732635,0.21451930701732635
211-000531,NEUTRO,5,FCz_Alpha,0.18637587130069733,0.18637587130069733
211-000531,NEUTRO,6,FT7_Beta,-0.18526212871074677,0.18526212871074677
211-000531,NEUTRO,7,PO5_Beta,-0.1811036467552185,0.1811036467552185
211-000531,NEUTRO,8,Fz_Alpha,0.17688053846359253,0.17688053846359253
211-000531,NEUTRO,9,Fp1_Beta,-0.1628919541835785,0.1628919541835785
211-000531,NEUTRO,10,FC2_Beta,0.1506277620792389,0.1506277620792389
211-000531,NEUTRO,11,AlphaAsym_PO4-PO3,-0.11396238952875137,0.11396238952875137
211-000531,NEUTRO,12,PO3_Beta,0.11111968755722046,0.11111968755722046
211-000531,NEUTRO,13,FC1_Alpha,0.10626745223999023,0.10626745223999023
211-000531,NEUTRO,14,C3_Beta,-0.09227929264307022,0.09227929264307022
