class_label,condition,channel,band,cluster,mean_abs_shap,mean_signed_shap,n_subjects
0,JOY,O2,Alpha,occipital,0.009638845059298176,0.008796965372698778,23
0,JOY,O2,Beta,occipital,0.03599691275211011,0.019844218877614377,23
0,JOY,O1,Alpha,occipital,0.018302983851464984,0.016668656951144896,23
0,JOY,O1,Beta,occipital,0.08759194815862612,0.06380927358217614,23
0,JOY,Oz,Alpha,occipital,0.033980826909337083,0.024921019519889107,23
0,JOY,Oz,Beta,occipital,0.07745020984149054,0.06633325882085996,23
0,JOY,Pz,Alpha,parietal_midline,0.01025924053784162,0.0053722232001447365,23
0,JOY,Pz,Beta,parietal_midline,0.02878222286939326,0.027651918663124605,23
0,JOY,P4,Alpha,other,0.004302622329261446,0.002325348819932442,23
0,JOY,P4,Beta,other,0.011986405993201622,0.01033078678816164,23
0,JOY,CP4,Alpha,temporal_right,0.006248886404852987,0.005037690620983233,23
0,JOY,CP4,Beta,temporal_right,0.02592426996093833,0.023344310130777236,23
0,JOY,P8,Alpha,temporal_right,0.0021931591027484288,-0.00038708521915481654,23
0,JOY,P8,Beta,temporal_right,0.03518137964308064,0.029594435525771283,23
0,JOY,C4,Alpha,other,0.0026492053339874496,-0.0012337724869761438,23
0,JOY,C4,Beta,other,0.015451985604793425,0.011438490202738804,23
0,JOY,TP8,Alpha,temporal_right,0.020720446987545306,0.01892126793356807,23
0,JOY,TP8,Beta,temporal_right,0.02091257747711134,0.016339313602185053,23
0,JOY,T8,Alpha,temporal_right,0.0067969321628832645,0.005536526732743642,23
0,JOY,T8,Beta,temporal_right,0.05554658689604924,0.05353459993086041,23
0,JOY,P7,Alpha,temporal_left,0.004509333243564299,0.0013974329521080986,23
0,JOY,P7,Beta,temporal_left,0.061099674561899346,0.03034363080207745,23
0,JOY,P3,Alpha,centro_parietal_left,0.001708064581673384,0.0007943277446434516,23
0,JOY,P3,Beta,centro_parietal_left,0.019659332672395374,0.012387833679201377,23
0,JOY,CP3,Alpha,temporal_left,0.0019101545339647154,0.0016644124861341415,23
0,JOY,CP3,Beta,temporal_left,0.012545293494014297,0.010130187187094691,23
0,JOY,CPz,Alpha,parietal_midline,0.018267200701679913,0.005495607340067143,23
0,JOY,CPz,Beta,parietal_midline,0.024075862768305707,0.010840126234172513,23
0,JOY,Cz,Alpha,parietal_midline,0.006469271397749767,-0.0023816779284824363,23
0,JOY,Cz,Beta,parietal_midline,0.036548914373706616,0.015515024554278167,23
0,JOY,FC4,Alpha,frontal_bilateral,0.04951092904288061,0.04642584051403229,23
0,JOY,FC4,Beta,frontal_bilateral,0.112530098485442,0.09431168045436739,23
0,JOY,FT8,Alpha,temporal_right,0.010374954843891903,0.00520880584079352,23
0,JOY,FT8,Beta,temporal_right,0.012387522377914151,0.00998795946066505,23
0,JOY,TP7,Alpha,temporal_left,0.004224899436467716,0.0033329168425082194,23
0,JOY,TP7,Beta,temporal_left,0.01076819978713895,0.008381447957199651,23
0,JOY,C3,Alpha,centro_parietal_left,0.015302356766547015,0.006611136335940982,23
0,JOY,C3,Beta,centro_parietal_left,0.014104113027606146,0.0016010065571713094,23
0,JOY,FCz,Alpha,frontal_bilateral,0.00963131565546666,0.006988120780480491,23
0,JOY,FCz,Beta,frontal_bilateral,0.011032480877097392,0.0028647582435499504,23
0,JOY,Fz,Alpha,frontal_bilateral,0.010022158967349936,0.007957339133846114,23
0,JOY,Fz,Beta,frontal_bilateral,0.011080358872518811,0.004657073696768782,23
0,JOY,F4,Alpha,frontal_bilateral,0.010071873257095692,0.005517254764776026,23
0,JOY,F4,Beta,frontal_bilateral,0.029200997313988557,0.022430053121952835,23
0,JOY,F8,Alpha,other,0.006601991765318847,0.0007140267631258791,23
0,JOY,F8,Beta,other,0.009086176843023276,0.006158318920614583,23
0,JOY,T7,Alpha,temporal_left,0.01707260556582916,0.008927454438532116,23
0,JOY,T7,Beta,temporal_left,0.0426613495629505,0.03528290367464906,23
0,JOY,FT7,Alpha,temporal_left,0.009441614783548434,0.005639332942147172,23
0,JOY,FT7,Beta,temporal_left,0.05640590072554147,0.04744139418809717,23
0,JOY,FC3,Alpha,frontal_bilateral,0.0010153371165648394,1.8863756798237785e-05,23
0,JOY,FC3,Beta,frontal_bilateral,0.011513403187880196,-0.003952210036795615,23
0,JOY,F3,Alpha,frontal_bilateral,0.02611879379135481,0.024268580927300564,23
0,JOY,F3,Beta,frontal_bilateral,0.05927115176793524,0.053838803143344494,23
0,JOY,Fp2,Alpha,frontal_bilateral,0.03742917791323079,0.031526865482176133,23
0,JOY,Fp2,Beta,frontal_bilateral,0.12951758582165798,0.08981270193961075,23
0,JOY,F7,Alpha,frontal_inferior_left,0.000991013335130881,-0.00025285024705076385,23
0,JOY,F7,Beta,frontal_inferior_left,0.01674054244222044,0.012401700651099844,23
0,JOY,Fp1,Alpha,frontal_bilateral,0.0022559075232939387,0.000706108973707871,23
0,JOY,Fp1,Beta,frontal_bilateral,0.10687949624466402,0.09911711836048998,23
0,JOY,PO5,Alpha,other,0.014782856588357042,0.013196639635465303,23
