class_label,condition,feature_idx,feature_name,feature_type,channel,band,pair,cluster,mean_abs_shap,std_abs_shap,mean_signed_shap,std_signed_shap,n_subjects
0,JOY,0,O2_Alpha,bandpower,O2,Alpha,,occipital,0.009638845059298176,0.04622627698370926,0.008796965372698778,0.04218876384387923,23
0,JOY,1,O2_Beta,bandpower,O2,Beta,,occipital,0.03599691275211011,0.08109300132654677,0.019844218877614377,0.06247727503122538,23
0,JOY,2,O1_Alpha,bandpower,O1,Alpha,,occipital,0.018302983851464984,0.0727967225702631,0.016668656951144896,0.07276260533680219,23
0,JOY,3,O1_Beta,bandpower,O1,Beta,,occipital,0.08759194815862612,0.17584239943663105,0.06380927358217614,0.15459994609093156,23
0,JOY,4,Oz_Alpha,bandpower,Oz,Alpha,,occipital,0.033980826909337083,0.09917765869829036,0.024921019519889107,0.09446788943555275,23
0,JOY,5,Oz_Beta,bandpower,Oz,Beta,,occipital,0.07745020984149054,0.2004655539497258,0.06633325882085996,0.1873772983280002,23
0,JOY,6,Pz_Alpha,bandpower,Pz,Alpha,,parietal_midline,0.01025924053784162,0.023030815784612482,0.0053722232001447365,0.02178380643390393,23
0,JOY,7,Pz_Beta,bandpower,Pz,Beta,,parietal_midline,0.02878222286939326,0.11068278862272275,0.027651918663124605,0.11064039919315626,23
0,JOY,8,P4_Alpha,bandpower,P4,Alpha,,other,0.004302622329261446,0.01855965698794909,0.002325348819932442,0.009793608490832934,23
0,JOY,9,P4_Beta,bandpower,P4,Beta,,other,0.011986405993201622,0.051435926464387195,0.01033078678816164,0.04717752066861237,23
0,JOY,10,CP4_Alpha,bandpower,CP4,Alpha,,temporal_right,0.006248886404852987,0.02776643640029183,0.005037690620983233,0.021980546116555085,23
0,JOY,11,CP4_Beta,bandpower,CP4,Beta,,temporal_right,0.02592426996093833,0.09340380031148282,0.023344310130777236,0.09281515408124366,23
0,JOY,12,P8_Alpha,bandpower,P8,Alpha,,temporal_right,0.0021931591027484288,0.007930523932737391,-0.00038708521915481654,0.0013039536958178084,23
0,JOY,13,P8_Beta,bandpower,P8,Beta,,temporal_right,0.03518137964308064,0.13524342736037284,0.029594435525771283,0.121744423731859,23
0,JOY,14,C4_Alpha,bandpower,C4,Alpha,,other,0.0026492053339874496,0.010479044043106971,-0.0012337724869761438,0.005013522130722594,23
0,JOY,15,C4_Beta,bandpower,C4,Beta,,other,0.015451985604793425,0.05114079319591601,0.011438490202738804,0.03844417952577482,23
