subject_id,class_label,condition,feature_idx,feature_name,feature_type,channel,band,pair,cluster,mean_abs_shap,mean_signed_shap,n_epochs_class
211-000531,0,JOY,0,O2_Alpha,bandpower,O2,Alpha,,occipital,0.0,0.0,35
211-000531,0,JOY,1,O2_Beta,bandpower,O2,Beta,,occipital,0.26910184260465253,0.26910184260465253,35
211-000531,0,JOY,2,O1_Alpha,bandpower,O1,Alpha,,occipital,0.0,0.0,35
211-000531,0,JOY,3,O1_Beta,bandpower,O1,Beta,,occipital,0.0,0.0,35
211-000531,0,JOY,4,Oz_Alpha,bandpower,Oz,Alpha,,occipital,0.0,0.0,35
211-000531,0,JOY,5,Oz_Beta,bandpower,Oz,Beta,,occipital,0.0824541197571709,0.08185898001252655,35
211-000531,0,JOY,6,Pz_Alpha,bandpower,Pz,Alpha,,parietal_midline,0.0,0.0,35
211-000531,0,JOY,7,Pz_Beta,bandpower,Pz,Beta,,parietal_midline,0.0,0.0,35
211-000531,0,JOY,8,P4_Alpha,bandpower,P4,Alpha,,other,0.0,0.0,35
211-000531,0,JOY,9,P4_Beta,bandpower,P4,Beta,,other,0.0,0.0,35
211-000531,0,JOY,10,CP4_Alpha,bandpower,CP4,Alpha,,temporal_right,0.0,0.0,35
211-000531,0,JOY,11,CP4_Beta,bandpower,CP4,Beta,,temporal_right,0.005885666830325885,-0.0026085807871435223,35
211-000531,0,JOY,12,P8_Alpha,bandpower,P8,Alpha,,temporal_right,0.01462783573193784,-0.003655854440029893,35
211-000531,0,JOY,13,P8_Beta,bandpower,P8,Beta,,temporal_right,0.0,0.0,35
211-000531,0,JOY,14,C4_Alpha,bandpower,C4,Alpha,,other,0.0,0.0,35
211-000531,0,JOY,15,C4_Beta,bandpower,C4,Beta,,other,0.18285088009934153,0.15371045297823782,35
211-000531,0,JOY,16,TP8_Alpha,bandpower,TP8,Alpha,,temporal_right,0.0,0.0,35
211-000531,0,JOY,17,TP8_Beta,bandpower,TP8,Beta,,temporal_right,0.0,0.0,35
211-000531,0,JOY,18,T8_Alpha,bandpower,T8,Alpha,,temporal_right,0.0,0.0,35
211-000531,0,JOY,19,T8_Beta,bandpower,T8,Beta,,temporal_right,0.050217351174412145,0.040910178193592966,35
211-000531,0,JOY,20,P7_Alpha,bandpower,P7,Alpha,,temporal_left,0.0,0.0,35
211-000531,0,JOY,21,P7_Beta,bandpower,P7,Beta,,temporal_left,0.0,0.0,35
211-000531,0,JOY,22,P3_Alpha,bandpower,P3,Alpha,,centro_parietal_left,0.0,0.0,35
211-000531,0,JOY,23,P3_Beta,bandpower,P3,Beta,,centro_parietal_left,0.0,0.0,35
211-000531,0,JOY,24,CP3_Alpha,bandpower,CP3,Alpha,,temporal_left,0.0,0.0,35
211-000531,0,JOY,25,CP3_Beta,bandpower,CP3,Beta,,temporal_left,0.0,0.0,35
211-000531,0,JOY,26,CPz_Alpha,bandpower,CPz,Alpha,,parietal_midline,0.0,0.0,35
211-000531,0,JOY,27,CPz_Beta,bandpower,CPz,Beta,,parietal_midline,0.0,0.0,35
211-000531,0,JOY,28,Cz_Alpha,bandpower,Cz,Alpha,,parietal_midline,0.0,0.0,35
211-000531,0,JOY,29,Cz_Beta,bandpower,Cz,Beta,,parietal_midline,0.0,0.0,35
211-000531,0,JOY,30,FC4_Alpha,bandpower,FC4,Alpha,,frontal_bilateral,0.000492356856343601,-0.00024145989098617077,35
211-000531,0,JOY,31,FC4_Beta,bandpower,FC4,Beta,,frontal_bilateral,0.13458616588890135,0.10992837802895347,35
211-000531,0,JOY,32,FT8_Alpha,bandpower,FT8,Alpha,,temporal_right,0.0,0.0,35
211-000531,0,JOY,33,FT8_Beta,bandpower,FT8,Beta,,temporal_right,0.0,0.0,35
211-000531,0,JOY,34,TP7_Alpha,bandpower,TP7,Alpha,,temporal_left,0.011145853539784407,-0.0013663953921058364,35
211-000531,0,JOY,35,TP7_Beta,bandpower,TP7,Beta,,temporal_left,0.0,0.0,35
211-000531,0,JOY,36,C3_Alpha,bandpower,C3,Alpha,,centro_parietal_left,0.0,0.0,35
211-000531,0,JOY,37,C3_Beta,bandpower,C3,Beta,,centro_parietal_left,0.0,0.0,35
211-000531,0,JOY,38,FCz_Alpha,bandpower,FCz,Alpha,,frontal_bilateral,0.038799413518874976,0.019996072939227505,35
211-000531,0,JOY,39,FCz_Beta,bandpower,FCz,Beta,,frontal_bilateral,0.0,0.0,35
211-000531,0,JOY,40,Fz_Alpha,bandpower,Fz,Alpha,,frontal_bilateral,0.0,0.0,35
211-000531,0,JOY,41,Fz_Beta,bandpower,Fz,Beta,,frontal_bilateral,0.0,0.0,35
211-000531,0,JOY,42,F4_Alpha,bandpower,F4,Alpha,,frontal_bilateral,0.0,0.0,35
211-000531,0,JOY,43,F4_Beta,bandpower,F4,Beta,,frontal_bilateral,0.18466129149980715,0.15496245427975044,35
211-000531,0,JOY,44,F8_Alpha,bandpower,F8,Alpha,,other,0.0,0.0,35
211-000531,0,JOY,45,F8_Beta,bandpower,F8,Beta,,other,0.0,0.0,35
211-000531,0,JOY,46,T7_Alpha,bandpower,T7,Alpha,,temporal_left,0.0,0.0,35
211-000531,0,JOY,47,T7_Beta,bandpower,T7,Beta,,temporal_left,0.0,0.0,35
211-000531,0,JOY,48,FT7_Alpha,bandpower,FT7,Alpha,,temporal_left,0.0,0.0,35
211-000531,0,JOY,49,FT7_Beta,bandpower,FT7,Beta,,temporal_left,0.0,0.0,35
211-000531,0,JOY,50,FC3_Alpha,bandpower,FC3,Alpha,,frontal_bilateral,0.0,0.0,35
211-000531,0,JOY,51,FC3_Beta,bandpower,FC3,Beta,,frontal_bilateral,0.0008585802310016697,0.0006493553065959875,35
