subject_id,classifier_name,n_epochs,accuracy,f1_macro,confusion
211-000531,LogReg,62,1.0,1.0,"[[35, 0, 0], [0, 18, 0], [0, 0, 9]]"
211-000532,LogReg,144,0.9027777777777778,0.9036879432624113,"[[43, 0, 6], [0, 47, 0], [8, 0, 40]]"
211-000533,LogReg,138,0.9710144927536232,0.9708125780334917,"[[45, 0, 0], [3, 42, 0], [1, 0, 47]]"
211-000535,LogReg,101,0.9207920792079208,0.9046402724563644,"[[45, 0, 0], [0, 23, 5], [0, 3, 25]]"
211-000536,LogReg,124,0.9516129032258065,0.9546181639204895,"[[47, 0, 0], [5, 40, 1], [0, 0, 31]]"
211-000537,LogReg,131,0.9923664122137404,0.9920623671155209,"[[42, 0, 0], [1, 41, 0], [0, 0, 47]]"
211-000539,LogReg,132,0.9242424242424242,0.9223401641358299,"[[46, 0, 3], [0, 39, 5], [0, 2, 37]]"
211-000540,LogReg,102,0.9901960784313726,0.9867417135709818,"[[49, 0, 0], [0, 32, 1], [0, 0, 20]]"
211-000541,LogReg,127,0.9921259842519685,0.9923209320799682,"[[41, 0, 0], [0, 40, 0], [1, 0, 45]]"
211-000543,LogReg,141,0.8085106382978723,0.8045692079315464,"[[47, 2, 0], [2, 31, 12], [0, 11, 36]]"
211-000544,LogReg,120,0.9916666666666667,0.990355164548713,"[[27, 0, 0], [0, 46, 0], [1, 0, 46]]"
211-000545,LogReg,96,1.0,1.0,"[[44, 0, 0], [0, 23, 0], [0, 0, 29]]"
211-000546,LogReg,141,1.0,1.0,"[[48, 0, 0], [0, 47, 0], [0, 0, 46]]"
211-000547,LogReg,144,0.9930555555555556,0.993054801953337,"[[48, 1, 0], [0, 47, 0], [0, 0, 48]]"
211-000548,LogReg,106,0.8867924528301887,0.8797909407665504,"[[37, 0, 0], [0, 35, 4], [0, 8, 22]]"
211-000549,LogReg,139,1.0,1.0,"[[46, 0, 0], [0, 46, 0], [0, 0, 47]]"
211-000550,LogReg,81,0.9876543209876543,0.9899693090800209,"[[36, 0, 1], [0, 14, 0], [0, 0, 30]]"
211-000552,LogReg,116,0.9482758620689655,0.9497171590194845,"[[36, 0, 0], [0, 40, 5], [0, 1, 34]]"
211-000553,LogReg,104,0.9134615384615384,0.9160643544344733,"[[31, 6, 1], [1, 34, 0], [0, 1, 30]]"
211-000554,LogReg,137,0.8248175182481752,0.819552079630288,"[[48, 0, 1], [0, 32, 12], [0, 11, 33]]"
211-000555,LogReg,133,0.8045112781954887,0.8059246954595792,"[[30, 12, 0], [10, 36, 0], [2, 2, 41]]"
211-000556,LogReg,102,0.9019607843137255,0.8975103437972941,"[[34, 1, 4], [0, 34, 2], [0, 3, 24]]"
211-000557,LogReg,133,1.0,1.0,"[[45, 0, 0], [0, 43, 0], [0, 0, 45]]"
