subject_id,condition,total_bandpower_abs,beta_gamma_abs,peripheral_beta_gamma_abs,beta_gamma_percentage,peripheral_beta_gamma_percentage
211-000531,JOY,2.476129989163209,2.3850761313781517,0.8339821424961562,96.32273514784949,33.680870800244
211-000531,NEUTRO,2.7891760479594696,2.496050282239705,1.4753688853830618,89.49059648155905,52.89622669972465
211-000531,SAD,4.53725991714014,4.53725991714014,2.8252941298088965,100.0,62.268730057450504
211-000532,JOY,5.163190020961946,3.49686852286974,2.1781664454544396,67.72689962354404,42.18644746002644
211-000532,NEUTRO,3.588919169985748,1.9863230757879469,1.9111466985308383,55.34599643256482,53.25131628802963
211-000532,SAD,7.543427537616668,5.573517072411413,3.594130114673291,73.88573754593732,47.64584927409338
211-000533,JOY,4.197765184642345,3.4234660505602608,1.298727844072237,81.55449149669252,30.938553895860426
211-000533,NEUTRO,4.801267573443392,2.55696710790477,1.392404206542046,53.25608433172482,29.000762512042964
211-000533,SAD,3.8590015899759864,1.936513677326749,1.6706936593206154,50.18172789451479,43.29341723155423
211-000535,JOY,3.525142200909055,2.590217183253801,2.399226763288021,73.47837436418429,68.06042498567332
211-000535,NEUTRO,4.5809294218158225,2.810975789973499,2.2394185114025262,61.362564910665306,48.88568028875785
211-000535,SAD,4.6407522645478485,1.9919096321946363,1.543456751440442,42.92212810865717,33.258762016481434
211-000536,JOY,3.307430164959815,1.63657733030442,0.3462696807904036,49.48184084558908,10.46944798589907
211-000536,NEUTRO,4.134683013076021,2.2551412731748197,0.8446095149246186,54.54205959786732,20.427430887773582
211-000536,SAD,3.5268372225631204,1.1822131028307883,0.4905622829457784,33.52048955555759,13.909410953456577
211-000537,JOY,3.4915857675403625,2.3741076592707064,0.7784979108673225,67.99511217343344,22.296399478559366
211-000537,NEUTRO,4.5042592926698966,3.30445593903544,1.3668474841456737,73.36291550561971,30.345666075886047
211-000537,SAD,4.259780691624283,3.7639028545214694,1.7528063719992808,88.35907590083629,41.147807807235345
211-000539,JOY,4.018350365919445,3.4731816305835435,3.3614289954684256,86.43302137216298,83.65196385007836
211-000539,NEUTRO,3.973083734184393,2.5491845367441552,1.3612111977037136,64.16135947025188,34.26082329933948
211-000539,SAD,4.493607375243885,3.470144273439702,1.7268823956384223,77.22402033959106,38.42975701776121
211-000540,JOY,2.7633353031535095,2.1513042926925063,1.5770824015558578,77.85172831677157,57.07169881831192
211-000540,NEUTRO,3.953687971611732,3.762842502066942,2.8982960728919767,95.1729759425858,73.30614084121763
211-000540,SAD,4.255732468403627,2.9336864085918943,2.673901910837098,68.93493494651823,62.830592164551845
211-000541,JOY,4.079525552879433,3.516352887099325,3.516352887099325,86.19514307533613,86.19514307533613
211-000541,NEUTRO,3.655397752416724,3.550469601788189,3.550469601788189,97.12950114500775,97.12950114500775
211-000541,SAD,3.7782463194446567,1.8962631034532813,1.5567779803363706,50.18897507275286,41.20371856976209
211-000543,JOY,3.904193710741116,2.37467622476938,0.3747596550192508,60.82372957664044,9.59890012599072
211-000543,NEUTRO,5.638996875895346,3.951497440887172,1.1881788674759022,70.07447473110655,21.070748816246613
211-000543,SAD,7.995402133421404,5.827099054674139,3.0675541645635227,72.88062510722769,38.366477550152325
211-000544,JOY,4.671071851979289,2.93396900903657,1.2765143056663943,62.81147244166988,27.32808113678432
211-000544,NEUTRO,3.8984482232873083,3.537378224573991,3.5373782245739913,90.73810967767963,90.73810967767965
211-000544,SAD,3.2577258158242777,1.5729817266623185,1.2339906805164962,48.28465670811276,37.878899277601384
211-000545,JOY,3.518105122179485,2.843294216357646,2.6676425875778507,80.81891011250426,75.82611931519635
211-000545,NEUTRO,4.46156317862406,3.6945849808607254,0.6732087663068815,82.80920459810972,15.089078409386062
211-000545,SAD,3.3401406448552162,3.008714744812836,1.5824574238593998,90.07748669048198,47.37696977810927
211-000546,JOY,3.400232100750958,1.575724515304723,0.643047066314596,46.341675174371666,18.9118579926522
211-000546,NEUTRO,3.2035719163792917,1.7236487480573377,0.939579856205282,53.803966105603216,29.329132628531852
211-000546,SAD,3.988352730654377,1.6281128406599301,0.8547959990467828,40.821686310398185,21.432306939073936
211-000547,JOY,3.4327015946340995,1.7802612482333076,1.7116010943673097,51.86181202048441,49.86163367776667
211-000547,NEUTRO,3.287908953459368,2.0439665533043225,1.7799688831298268,62.16615430161977,54.1368057426601
211-000547,SAD,4.454204593582725,2.802717297133759,2.3658647524349665,62.9229582577257,53.11531391807917
211-000548,JOY,2.923322197706089,1.2415298407372068,1.1113880906226248,42.46982565628335,38.01798144230299
211-000548,NEUTRO,4.879240737430459,3.1353495798036137,1.500772249292199,64.25896463257466,30.758315280064387
211-000548,SAD,3.483576228025521,0.9262676709834257,0.7276802360522538,26.589562287501057,20.888885111743356
211-000549,JOY,3.780950596060312,2.7281567640108273,2.1353839963428203,72.15531371537945,56.47743714418948
211-000549,NEUTRO,4.390481333271635,3.2247785027989826,1.783174910672165,73.4493158725262,40.61456535890576
211-000549,SAD,4.251206923762531,2.7297088969609424,0.964478889006018,64.21021008652794,22.687178166157242
211-000550,JOY,2.50288686110986,1.692230770624922,0.864582421223965,67.61115721685209,34.543408040449
211-000550,NEUTRO,4.746963930812974,2.8956750624928955,0.7644088298277288,61.00057014751693,16.10311013458269
211-000550,SAD,2.491753353689338,2.294012488812065,1.4973042606001665,92.06418787058142,60.09038809492235
211-000552,JOY,3.4239971966747618,2.0924067876474988,1.7837740377145634,61.110061354009105,52.09624702516953
211-000552,NEUTRO,3.613058543374258,1.307999319187965,0.6172517656059043,36.201996272288916,17.083912651729385
211-000552,SAD,4.550230118088259,3.13457506302206,1.5267960495331492,68.88827557448953,33.55426011233515
211-000553,JOY,4.821919767667161,1.437380274536556,1.381466355068483,29.809294716489216,28.649716744184538
211-000553,NEUTRO,4.097657845892412,1.6413049682731358,0.7744275670014747,40.05471003193735,18.899273588149363
211-000553,SAD,3.235964017524581,1.2341618341857319,1.1616784951232035,38.138923285365514,35.898992968773925
211-000554,JOY,3.4835689913807335,3.132615324487196,2.4596293796230495,89.92545668646468,70.60659300013347
211-000554,NEUTRO,5.807815128020355,2.993031553919411,2.555317971744374,51.53455280419045,43.997922031229955
211-000554,SAD,6.721592994797593,3.4559856869207057,1.8162137081016259,51.4161700893759,27.020584398777885
211-000555,JOY,10.796128307200345,7.2151716149764225,3.6156926754199246,66.83110287013125,33.49064194622884
211-000555,NEUTRO,5.4315416237671625,3.615680628128996,2.0771658756125504,66.56822093211288,38.242657784731975
211-000555,SAD,4.477637065253061,2.8130083264798618,2.2938341442053134,62.82350010698957,51.22867509753548
211-000556,JOY,2.057907278133131,1.5593808395845188,0.4894149621880067,75.77507772843587,23.782167806510145
211-000556,NEUTRO,5.544373435371302,4.4023754814523635,1.729169446424722,79.40257871821255,31.187824315605845
211-000556,SAD,5.217687395603498,4.012827505702072,2.4079274499717336,76.90816259102338,46.14932377897322
211-000557,JOY,3.9247934757536775,2.3338320782309387,1.3655296525879415,59.463818737182685,34.792395090947274
211-000557,NEUTRO,3.0892657400546555,1.6896865401761718,1.2081113359525506,54.69540927697201,39.106746962181916
211-000557,SAD,3.667822285269188,2.2882228478003777,1.859679231267741,62.386415421227014,50.702544633545564
