condition,band,mean_abs_shap,percentage
JOY,Delta,0.4488291301039487,11.513029864506679
JOY,Theta,0.46960989550354504,12.046082548937944
JOY,Alpha,0.37184151376424396,9.538200989404649
JOY,Beta,1.3964799935474785,35.82146254004195
JOY,Gamma,1.211684406302529,31.081224057108788
NEUTRO,Delta,0.514929557919397,12.076173257411087
NEUTRO,Theta,0.49931102115448245,11.709885960246693
NEUTRO,Alpha,0.4180604535422612,9.804390506241765
NEUTRO,Beta,1.3530358898604529,31.731516628159596
NEUTRO,Gamma,1.478675748949658,34.67803364794088
SAD,Delta,0.5656054457763612,12.750355478870844
SAD,Theta,0.5776470478030705,13.021807438045126
SAD,Alpha,0.4660577525158507,10.506267332882645
SAD,Beta,1.3506226369284007,30.44687576338529
SAD,Gamma,1.476064581624656,33.27469398681612
